PubicSymphysis_cam1_X,PubicSymphysis_cam1_Y,PubicSymphysis_cam2_X,PubicSymphysis_cam2_Y,FemurRHead_cam1_X,FemurRHead_cam1_Y,FemurRHead_cam2_X,FemurRHead_cam2_Y,FemurRTrochanter_cam1_X,FemurRTrochanter_cam1_Y,FemurRTrochanter_cam2_X,FemurRTrochanter_cam2_Y,FemurRCondyles_cam1_X,FemurRCondyles_cam1_Y,FemurRCondyles_cam2_X,FemurRCondyles_cam2_Y,TibiaRP_cam1_X,TibiaRP_cam1_Y,TibiaRP_cam2_X,TibiaRP_cam2_Y,TibiaRHarp_cam1_X,TibiaRHarp_cam1_Y,TibiaRHarp_cam2_X,TibiaRHarp_cam2_Y,TibiaRD_cam1_X,TibiaRD_cam1_Y,TibiaRD_cam2_X,TibiaRD_cam2_Y,CalcaneusR_cam1_X,CalcaneusR_cam1_Y,CalcaneusR_cam2_X,CalcaneusR_cam2_Y,MetatarsalR_cam1_X,MetatarsalR_cam1_Y,MetatarsalR_cam2_X,MetatarsalR_cam2_Y,FemurLHead_cam1_X,FemurLHead_cam1_Y,FemurLHead_cam2_X,FemurLHead_cam2_Y,FemurLTrochanter_cam1_X,FemurLTrochanter_cam1_Y,FemurLTrochanter_cam2_X,FemurLTrochanter_cam2_Y,FemurLCondyles_cam1_X,FemurLCondyles_cam1_Y,FemurLCondyles_cam2_X,FemurLCondyles_cam2_Y,TibiaLP_cam1_X,TibiaLP_cam1_Y,TibiaLP_cam2_X,TibiaLP_cam2_Y,TibiaLHarp_cam1_X,TibiaLHarp_cam1_Y,TibiaLHarp_cam2_X,TibiaLHarp_cam2_Y,TibiaLD_cam1_X,TibiaLD_cam1_Y,TibiaLD_cam2_X,TibiaLD_cam2_Y,CalcaneusL_cam1_X,CalcaneusL_cam1_Y,CalcaneusL_cam2_X,CalcaneusL_cam2_Y,MetatarsalL_cam1_X,MetatarsalL_cam1_Y,MetatarsalL_cam2_X,MetatarsalL_cam2_Y
-1.1569576,-0.5620656,0.6994426,1.0059376,8.020559,-0.25949287,2.9673877,0.28989196,-0.5180454,5.3164144,1.1535728,-0.0049848557,0.852412,894.18463,0.7792971,0.32685447,1.9524987,-3.3544846,-0.42256165,5.2294183,-7.499112,-1.3688326,-3.303474,2.958198,-2.063727,-0.3373251,890.6452,390.21045,0.18007398,-6.2333336,910.34454,381.76685,1322.242,413.0707,-0.98697615,-1.7784448,8.115866,1.539063,905.18915,394.64838,1.6457,0.5402703,901.7778,389.27396,2.4267564,893.1441,856.9565,467.55972,-1.5732522,0.7403946,-1.4675956,-2.5225558,0.4564774,892.4862,859.9569,458.38187,0.2873032,-1.5638137,892.21936,391.13776,-1.5794973,1.720613,909.95374,383.76016,-1.9615135,0.3766272,855.03937,459.88458
1007.10046,285.50696,865.85803,326.8306,962.61194,240.60008,868.93677,278.1733,969.6549,233.31583,882.0511,278.04483,866.32935,274.33786,804.8137,302.7845,877.22076,283.99655,813.6696,312.8032,936.5804,329.52203,863.61285,366.7686,975.8083,356.10718,887.8513,391.24417,996.6456,353.67975,908.22534,380.78012,904.09125,369.696,830.9993,401.055,1008.4895,240.45932,828.8517,286.85532,1018.48444,234.66187,822.6703,281.98407,972.0247,326.69016,770.4397,364.45938,984.0935,332.80283,784.1848,368.11435,1045.9883,339.0112,852.2597,383.7244,1078.7883,342.8171,898.9859,392.07953,1089.8466,324.35034,912.63257,374.59122,1067.3812,416.10684,867.2469,457.96075
1006.28174,286.13867,870.5955,328.3547,962.7575,243.25548,870.4655,278.07922,970.05237,235.74544,882.80835,279.9527,865.24713,268.48666,802.9736,292.55368,876.0121,281.2606,810.17334,304.50983,931.6389,337.1467,850.03534,369.09827,961.22327,370.08905,871.063,404.6372,980.0923,370.97458,890.0166,409.02335,893.475,374.8125,814.54266,405.2909,1010.0632,240.64177,832.555,288.15622,1019.6541,234.24898,826.0856,284.38187,979.11505,332.51456,780.2011,370.87875,990.66284,333.64777,793.2147,373.6541,1054.4797,338.36954,864.6397,382.6025,1086.1062,340.4413,909.27295,388.0681,1094.9077,320.37814,919.41187,372.31714,1080.7152,415.08862,881.635,458.033
1008.9265,289.07242,872.8738,330.50452,965.90216,244.46584,877.0256,282.82782,974.3898,237.43385,887.97406,284.3799,866.0057,265.29437,805.1919,289.0694,875.69086,278.8034,811.042,303.82217,920.928,342.19888,839.6223,374.80292,948.6501,381.81296,855.19025,413.99237,967.09406,384.36597,873.75946,419.33975,879.2949,388.20297,797.51294,410.13095,1013.8631,243.01904,839.11835,289.33,1022.71295,236.47691,832.5406,285.0652,985.6705,335.53027,785.7442,374.40643,997.4132,337.30856,798.6144,377.20288,1059.9043,337.34436,872.7647,383.643,1092.1815,337.76157,917.6894,387.0172,1099.2749,318.60086,929.6152,370.36206,1097.0983,412.61194,892.5462,456.289
1013.34155,293.50262,877.44446,334.41873,967.5774,248.93237,879.7802,286.7937,975.86145,241.65994,892.2082,287.97748,867.49384,266.85553,808.6098,292.16666,877.2103,282.42154,814.0206,307.3753,921.1836,351.9672,834.9583,381.63474,940.7048,392.31818,843.84204,424.70004,958.99945,394.50226,861.1132,431.12646,870.5693,400.19174,780.5776,427.423,1015.80756,245.57811,844.4477,293.32953,1023.77936,237.8912,838.86755,288.40958,995.30756,337.4677,793.887,378.06003,1006.8799,339.51312,807.2469,379.59323,1069.2946,337.37592,880.3948,384.47296,1100.2828,336.9581,926.8381,386.45312,1105.6681,316.46066,936.28314,369.34616,1111.7053,410.242,907.03644,456.3736
1013.3973,296.04788,881.3127,337.30496,969.82837,253.30066,885.09717,289.07,978.1476,245.58913,897.35474,291.65155,870.10333,277.94427,816.05975,301.36115,879.14606,292.55392,820.3803,315.3325,918.79395,360.89755,833.8473,389.78598,941.9899,402.0042,838.35913,433.8179,960.07556,402.65512,854.3327,438.49445,862.96045,426.4543,773.24664,449.68192,1017.3652,248.5812,848.5374,297.3007,1025.7516,239.975,841.9922,292.51804,1005.59827,341.701,803.5357,382.91397,1017.6396,343.16504,816.8911,384.56116,1078.2969,337.75952,891.90985,385.32315,1108.8135,336.45917,935.2951,385.48114,1113.1803,316.30518,944.6463,367.87378,1125.4779,408.59824,919.64526,456.1104
1017.06226,302.44836,888.18634,342.58813,973.3942,259.1963,890.886,295.66132,981.02264,250.69894,903.06976,297.62732,875.3354,286.6631,822.9301,310.95502,884.0789,299.3678,826.70795,325.3619,928.26013,367.47052,840.3593,399.10788,953.4445,408.54205,844.69806,439.915,972.5654,407.07895,861.952,443.81946,875.0676,435.17993,779.43427,459.69098,1021.7253,251.88664,855.7852,299.87625,1028.9829,241.39235,848.47705,295.19257,1013.3738,345.3718,811.3019,385.60107,1026.2595,344.8939,823.3032,387.32095,1084.5228,338.02625,900.8075,386.45227,1116.7964,335.19098,943.802,385.8996,1120.6888,312.71713,952.21277,367.65015,1138.072,407.9228,931.1361,456.82904
1022.6327,305.0876,891.0713,345.38992,978.4021,262.3483,900.5778,300.6851,986.1938,254.1294,913.0636,304.56064,881.50525,289.8537,831.5635,319.1385,890.6223,303.00827,834.2363,332.5391,937.6922,367.30667,849.47015,399.7392,966.2715,407.69925,855.6269,440.9113,985.3929,405.72833,872.84015,443.79834,892.2478,432.58188,793.7646,461.38608,1025.2468,254.92406,861.0239,302.2784,1033.0518,245.55699,855.2473,296.37918,1022.94006,347.11597,820.52496,390.27847,1033.817,346.90863,831.5556,389.97897,1093.846,337.8853,908.1815,388.36282,1122.984,335.64206,950.0906,385.94946,1126.9636,312.70065,958.16376,369.74402,1152.49,404.9682,943.14655,455.999
1023.94006,306.27533,897.14075,348.07327,980.9255,263.74976,906.2674,303.36722,988.7723,254.77974,918.44867,304.70764,885.3261,295.37915,832.7018,321.28632,896.89557,306.26968,837.3046,334.92487,947.21545,366.34912,857.8876,401.44223,978.6441,405.575,867.86865,440.5811,998.7679,403.68793,886.05963,441.36896,912.7007,430.37347,809.892,461.05328,1029.4438,255.74915,867.9031,303.6144,1036.7948,247.32565,862.01587,297.53625,1026.5409,350.83258,829.5519,392.58163,1038.8752,349.83023,840.3081,390.47903,1099.2986,337.46164,912.38165,388.52368,1130.117,333.14166,955.8197,385.15988,1133.8954,312.08075,963.9143,367.13824,1163.0265,401.5627,957.3927,455.32523
1027.8625,305.2843,902.3301,347.98633,985.287,265.15445,911.6462,301.84937,992.6518,256.16006,924.81903,305.57904,893.8485,298.84558,838.1824,328.9547,905.0649,310.58835,842.4126,342.31027,955.91077,367.017,869.0794,402.5926,991.6891,403.49957,880.9428,438.90198,1009.458,399.7839,899.4894,440.22824,923.5004,430.08173,823.7247,461.48184,1030.4166,254.15643,872.3847,303.88876,1037.9519,243.79974,866.31476,299.10315,1030.9037,350.33032,834.36084,391.9156,1043.5858,347.43207,846.21735,390.62152,1105.4039,334.98245,915.3047,386.85443,1138.6295,330.12173,958.8192,382.9751,1141.0093,309.3997,965.255,365.9161,1173.2517,399.04727,967.155,454.0666
