PubicSymphysis_cam1_X,PubicSymphysis_cam1_Y,PubicSymphysis_cam2_X,PubicSymphysis_cam2_Y,FemurRHead_cam1_X,FemurRHead_cam1_Y,FemurRHead_cam2_X,FemurRHead_cam2_Y,FemurRTrochanter_cam1_X,FemurRTrochanter_cam1_Y,FemurRTrochanter_cam2_X,FemurRTrochanter_cam2_Y,FemurRCondyles_cam1_X,FemurRCondyles_cam1_Y,FemurRCondyles_cam2_X,FemurRCondyles_cam2_Y,TibiaRP_cam1_X,TibiaRP_cam1_Y,TibiaRP_cam2_X,TibiaRP_cam2_Y,TibiaRHarp_cam1_X,TibiaRHarp_cam1_Y,TibiaRHarp_cam2_X,TibiaRHarp_cam2_Y,TibiaRD_cam1_X,TibiaRD_cam1_Y,TibiaRD_cam2_X,TibiaRD_cam2_Y,CalcaneusR_cam1_X,CalcaneusR_cam1_Y,CalcaneusR_cam2_X,CalcaneusR_cam2_Y,MetatarsalR_cam1_X,MetatarsalR_cam1_Y,MetatarsalR_cam2_X,MetatarsalR_cam2_Y,FemurLHead_cam1_X,FemurLHead_cam1_Y,FemurLHead_cam2_X,FemurLHead_cam2_Y,FemurLTrochanter_cam1_X,FemurLTrochanter_cam1_Y,FemurLTrochanter_cam2_X,FemurLTrochanter_cam2_Y,FemurLCondyles_cam1_X,FemurLCondyles_cam1_Y,FemurLCondyles_cam2_X,FemurLCondyles_cam2_Y,TibiaLP_cam1_X,TibiaLP_cam1_Y,TibiaLP_cam2_X,TibiaLP_cam2_Y,TibiaLHarp_cam1_X,TibiaLHarp_cam1_Y,TibiaLHarp_cam2_X,TibiaLHarp_cam2_Y,TibiaLD_cam1_X,TibiaLD_cam1_Y,TibiaLD_cam2_X,TibiaLD_cam2_Y,CalcaneusL_cam1_X,CalcaneusL_cam1_Y,CalcaneusL_cam2_X,CalcaneusL_cam2_Y,MetatarsalL_cam1_X,MetatarsalL_cam1_Y,MetatarsalL_cam2_X,MetatarsalL_cam2_Y
1412.34,375.61008,1252.7028,328.2903,1369.2284,299.13306,1254.3162,275.02115,1370.111,287.87946,1265.2184,267.15842,1212.2177,303.0145,1241.9867,360.66656,1223.7808,300.6772,1256.9021,361.85123,1309.9083,297.92758,1325.0432,366.07898,1361.784,297.25345,1362.7897,366.00128,1363.7305,274.6138,1368.8518,346.4168,1397.6671,390.95987,1409.29,448.052,1277.0065,386.1348,1211.8573,288.30447,1363.5887,281.45078,1209.1487,282.66736,1402.9408,378.70987,1112.3748,312.7651,1416.9142,378.213,1120.1041,326.57578,1267.7701,339.1214,1147.1362,396.0551,1279.2804,383.95096,1166.4999,439.4226,1301.5413,386.7239,1183.9641,443.8215,1196.0964,420.84274,1092.2128,460.1919
1323.4438,259.42972,1247.3997,334.41992,1279.4662,199.21515,1252.198,280.11124,1283.3135,192.5544,1261.8247,271.59717,1199.1449,302.00076,1231.8123,356.97452,1212.7367,302.58817,1245.4602,357.4675,1304.0289,283.015,1311.6885,351.23492,1351.4421,276.45535,1353.5045,350.30707,1356.9366,254.32672,1358.6377,327.88974,1392.4999,367.40317,1396.5829,422.9381,1331.9043,215.79263,1208.4634,294.7686,1342.7545,206.1766,1205.1412,288.26743,1248.2935,255.28084,1113.6058,327.63092,1253.3942,269.4401,1122.7482,341.13837,1280.5535,344.1257,1154.0128,403.70746,1292.4558,385.31702,1179.1754,442.5429,1312.0188,385.22336,1198.8436,444.7391,1227.2179,416.64658,1109.732,460.4394
1322.8899,260.79205,1248.1364,342.29684,1280.5684,205.28876,1248.513,285.6058,1287.5846,197.80652,1259.2134,278.37137,1190.9598,295.43362,1216.3201,352.08716,1205.2662,296.25336,1230.6344,354.24,1291.4989,269.12433,1298.8824,338.2428,1338.7063,255.52461,1342.5654,332.85077,1350.4696,242.46289,1350.9419,313.6546,1361.4059,362.46857,1357.841,407.54474,1337.3229,220.30186,1207.8977,303.65686,1355.3213,217.61382,1204.1012,297.30975,1253.3572,259.49677,1114.0304,333.2735,1261.5947,272.5994,1123.3801,346.3353,1294.6671,343.93472,1163.8724,404.51117,1309.5233,382.802,1192.6499,439.98117,1335.6959,382.5339,1211.5294,440.8596,1244.816,416.4014,1125.6146,460.88834
1329.1318,268.97424,1244.4119,346.66568,1284.7672,213.48923,1248.6338,290.8321,1291.394,207.76775,1258.882,284.53458,1188.1414,287.66293,1204.2922,347.05295,1202.1592,288.72247,1218.6282,348.6979,1281.7211,268.78717,1293.6448,340.16977,1326.2264,261.96182,1335.7963,336.05206,1338.4735,247.96349,1348.0751,321.83463,1297.59,338.22473,1316.9227,408.95117,1348.1882,230.67589,1207.8865,308.27133,1358.427,225.06596,1203.7058,302.92523,1259.2714,264.60242,1114.6908,342.26572,1265.9694,275.25253,1125.4835,352.95834,1311.3981,345.77808,1175.8652,406.58466,1331.8014,376.35397,1206.0017,435.1032,1353.2491,375.99722,1224.9215,433.52045,1285.9266,413.1643,1139.1971,460.80252
1331.2908,278.92337,1244.0365,352.0151,1288.0931,218.01254,1247.2466,292.79642,1295.5059,211.70226,1260.6061,288.91837,1181.7634,277.3208,1196.5427,333.1563,1196.2281,280.19653,1207.8065,338.02036,1276.661,285.46115,1286.7958,351.13297,1314.3752,288.74948,1322.5939,353.05096,1334.7559,276.50452,1345.1781,344.8595,1252.7462,339.4777,1280.0217,401.3347,1351.9161,233.242,1209.1106,312.0907,1367.0518,230.52512,1204.4095,306.96637,1263.5337,274.03424,1115.5471,349.8344,1271.3014,282.7814,1127.3656,360.39334,1326.3859,345.1966,1187.809,406.90628,1350.4434,368.9006,1219.1372,430.16806,1376.9574,363.18954,1239.7129,424.70633,1290.6796,412.66013,1152.3998,461.2695
1334.7584,287.31866,1242.8271,355.49768,1293.5897,223.52927,1246.0375,293.65198,1300.2413,216.37286,1259.7717,291.47998,1175.8486,260.66354,1190.6324,312.27048,1188.5935,269.81323,1199.2886,320.14325,1257.7812,297.32068,1269.4386,363.08124,1289.71,312.47324,1312.183,375.4258,1316.2496,313.3002,1330.7501,372.48346,1218.8126,342.80328,1250.6338,396.2022,1357.3469,234.89162,1208.5511,316.33295,1370.8538,234.15588,1205.0002,310.11923,1274.0,288.09308,1118.5209,357.7212,1285.0183,296.82718,1130.9625,365.953,1344.4545,344.85074,1196.2933,405.15674,1374.2784,364.19162,1234.6702,424.68256,1396.8469,356.063,1253.9124,417.16275,1303.2911,414.8965,1168.4282,461.49213
1335.8883,288.58484,1245.3588,355.88257,1293.4031,228.2982,1245.8932,295.79147,1301.1173,221.68808,1260.542,295.84534,1175.0846,250.58926,1182.0289,304.59094,1187.1208,261.59802,1188.4713,312.68506,1237.9711,308.33636,1254.3174,369.30136,1269.6346,335.96292,1286.8765,396.57648,1294.3663,335.84686,1303.6068,397.8608,1193.672,347.73798,1235.2814,400.32767,1360.4507,239.6156,1211.4066,319.03656,1375.0424,237.14062,1206.9255,313.48038,1278.9186,296.34695,1123.6718,363.43533,1289.772,305.12448,1135.7316,372.74136,1360.2151,339.4843,1204.8203,401.8141,1390.8104,356.68817,1246.0164,420.3185,1415.195,347.46,1263.049,413.2119,1343.5898,408.81668,1184.4666,461.66425
1330.8872,288.2162,1242.9249,358.58627,1293.9991,228.61292,1245.5317,298.16498,1302.688,222.49413,1258.9904,297.56055,1173.6442,239.92505,1176.5563,298.53256,1182.3978,252.07468,1184.6776,310.96942,1227.3191,318.4784,854.4651,341.77673,1249.5388,354.74936,1256.8679,407.90872,1267.1782,360.8316,1272.3004,408.27948,1171.1721,351.43936,1201.6428,403.84012,1360.846,244.11882,1213.5521,322.4743,1375.1858,240.1032,1209.0187,316.69434,1290.2495,307.27032,1128.8711,374.74475,1303.2081,313.70047,1142.786,381.43414,1376.2747,333.6869,1211.2874,402.20334,1405.9132,348.2525,1252.2909,414.42267,1425.9019,338.71304,1270.0887,406.03125,1370.5026,407.35214,1197.286,462.4922
1326.5221,282.5671,1243.9952,359.2077,1293.7736,230.05498,1245.6155,299.49774,1302.6421,223.83533,1258.4088,299.18243,1175.5472,232.18135,1171.9626,294.85846,1181.4113,247.68536,1178.5446,308.4309,1213.2596,326.20038,1219.202,386.7372,1230.2811,368.46002,1235.0323,421.60043,1248.3807,376.3892,1259.9247,429.36414,1151.5978,358.0279,1181.4495,410.10986,1360.5837,243.21498,1216.1072,322.38626,1375.418,239.2832,1212.1089,316.53006,1299.6129,315.8616,1132.8077,382.14633,1314.2296,319.91367,1145.6421,386.80347,1389.7672,332.24725,1225.0219,400.7303,1421.7949,341.16302,1265.0304,406.11038,1438.7311,326.8842,1281.2792,395.21875,1392.0033,406.5581,1213.2825,463.09247
1323.0771,287.138,1239.2001,357.17676,1292.2776,232.44522,1244.5477,299.84003,1301.7372,226.78053,1257.8365,301.25732,1174.391,230.42365,1170.6356,292.1917,1179.6265,247.11066,1175.1573,307.16815,1199.5828,332.97107,1203.9875,386.463,1209.5865,376.20767,1216.9143,428.78714,1227.4548,384.0414,1231.8951,437.11856,1129.2478,362.3614,1163.2616,419.5344,1360.8324,243.9644,1215.1753,321.38235,1375.698,239.50427,1211.0046,315.98538,1307.9653,323.2033,1137.5177,387.4444,1325.569,326.3226,1150.8286,392.7617,1406.2361,329.6894,1231.142,397.05298,1432.6305,338.98544,1277.0498,399.39008,1445.8829,322.67798,1287.8591,387.37216,1410.398,406.1668,1226.5499,464.5351
