PubicSymphysis_cam1_X,PubicSymphysis_cam1_Y,PubicSymphysis_cam2_X,PubicSymphysis_cam2_Y,FemurRHead_cam1_X,FemurRHead_cam1_Y,FemurRHead_cam2_X,FemurRHead_cam2_Y,FemurRTrochanter_cam1_X,FemurRTrochanter_cam1_Y,FemurRTrochanter_cam2_X,FemurRTrochanter_cam2_Y,FemurRCondyles_cam1_X,FemurRCondyles_cam1_Y,FemurRCondyles_cam2_X,FemurRCondyles_cam2_Y,TibiaRP_cam1_X,TibiaRP_cam1_Y,TibiaRP_cam2_X,TibiaRP_cam2_Y,TibiaRHarp_cam1_X,TibiaRHarp_cam1_Y,TibiaRHarp_cam2_X,TibiaRHarp_cam2_Y,TibiaRD_cam1_X,TibiaRD_cam1_Y,TibiaRD_cam2_X,TibiaRD_cam2_Y,CalcaneusR_cam1_X,CalcaneusR_cam1_Y,CalcaneusR_cam2_X,CalcaneusR_cam2_Y,MetatarsalR_cam1_X,MetatarsalR_cam1_Y,MetatarsalR_cam2_X,MetatarsalR_cam2_Y,FemurLHead_cam1_X,FemurLHead_cam1_Y,FemurLHead_cam2_X,FemurLHead_cam2_Y,FemurLTrochanter_cam1_X,FemurLTrochanter_cam1_Y,FemurLTrochanter_cam2_X,FemurLTrochanter_cam2_Y,FemurLCondyles_cam1_X,FemurLCondyles_cam1_Y,FemurLCondyles_cam2_X,FemurLCondyles_cam2_Y,TibiaLP_cam1_X,TibiaLP_cam1_Y,TibiaLP_cam2_X,TibiaLP_cam2_Y,TibiaLHarp_cam1_X,TibiaLHarp_cam1_Y,TibiaLHarp_cam2_X,TibiaLHarp_cam2_Y,TibiaLD_cam1_X,TibiaLD_cam1_Y,TibiaLD_cam2_X,TibiaLD_cam2_Y,CalcaneusL_cam1_X,CalcaneusL_cam1_Y,CalcaneusL_cam2_X,CalcaneusL_cam2_Y,MetatarsalL_cam1_X,MetatarsalL_cam1_Y,MetatarsalL_cam2_X,MetatarsalL_cam2_Y
1029.3926,361.4371,1016.5385,363.3192,1018.7677,279.0152,1044.943,325.4557,1068.9248,286.21918,1059.6554,322.31693,896.34314,340.46027,1010.1359,408.30066,910.285,346.95068,1018.3125,410.77493,984.0299,378.55872,1017.2585,413.6494,1035.0066,392.00003,1055.84,433.37198,1055.2494,383.9947,1068.6521,425.60892,965.7543,427.97748,992.0866,467.71985,1055.0225,288.99988,990.81085,317.51547,1052.6798,274.52057,989.41284,311.52512,983.3788,346.55664,925.5402,390.24362,995.5905,346.5624,932.1623,390.2394,1074.63,317.97055,818.2597,429.34525,1114.3898,308.82965,1057.3516,430.74377,1127.1979,286.8259,1072.6487,423.26984,968.7235,428.422,1002.41174,468.10498
1030.8794,317.13635,1025.9515,355.20865,995.2808,285.32516,1049.7015,321.53683,1001.8613,275.67456,1062.7772,319.13885,904.0314,342.89355,1000.21497,373.28363,916.14136,348.8197,1008.709,380.08353,994.5691,375.52393,1044.9941,414.43646,1044.0403,387.3887,1065.6112,428.07953,1064.7667,377.37418,1079.8503,422.58325,977.7754,427.57037,1014.7507,462.02213,1016.6743,261.157,991.4134,307.3539,1023.8796,255.91606,987.3844,301.86566,977.64966,335.67737,917.8465,376.2085,990.89435,338.60117,929.78723,377.59628,1075.675,306.27002,989.3595,350.4096,1113.5958,293.91318,1011.93304,346.2499,1123.9408,272.7478,1017.79144,332.6153,1108.0983,378.37552,998.66077,412.27078
1029.2015,305.43967,1034.6686,358.97607,1002.0748,279.63474,1053.4592,320.32642,1004.79407,271.46298,1066.9911,318.13132,912.1437,348.3048,1002.74817,381.88364,924.29297,352.58975,1012.91895,386.1573,1003.1289,371.53925,1055.3268,412.1906,1050.2158,379.16418,1076.211,421.72983,1070.2711,368.84482,1090.0737,414.95544,989.2065,426.12323,1034.074,462.07077,1010.61584,253.40887,993.74146,305.49243,1018.8371,245.74203,990.8133,298.29605,968.46936,324.37665,915.9494,362.10712,980.48553,327.69257,926.8715,363.95453,1063.2817,304.57382,982.23895,348.6912,1104.4055,291.26624,1001.0605,339.59692,1119.7161,273.74918,1009.6476,326.79553,1081.1505,360.29684,973.0732,397.77835
1032.1823,302.3974,1029.1339,352.76602,994.7782,275.27768,1055.1522,316.09018,1000.36993,266.03616,1068.0349,313.77274,917.3206,352.83865,1011.2349,385.5568,930.08435,356.90646,1022.80615,390.14062,1010.5438,367.5529,1062.4984,406.7463,1057.5376,368.85065,1084.4056,415.31824,1076.8054,357.68414,1098.5586,406.88116,1004.19867,427.12802,1046.257,460.9693,1005.8007,247.53398,994.58545,299.6947,1014.1902,240.02437,989.3362,292.4039,961.6229,314.91635,910.46564,343.83707,972.69037,316.08386,920.40265,350.91196,1051.5366,306.77618,974.2155,353.31784,1091.412,304.36966,994.6114,353.2056,1110.1912,293.27582,1008.2986,345.7998,1004.59045,426.64264,928.77234,409.4965
1029.4913,307.01843,1023.2115,351.16504,987.1903,276.84476,1055.0985,316.34714,992.642,267.0254,1067.4042,311.1825,921.5924,359.07913,1017.43695,392.6419,936.37463,362.14334,1029.5366,395.89023,1019.0797,359.01834,1070.6763,405.24066,1068.6931,360.3712,1091.9429,409.75177,1083.6146,346.44168,1104.2352,397.46936,1020.34125,424.26352,1057.4852,461.43494,1004.6259,246.02292,993.9086,296.7814,1013.83636,239.02303,989.3532,290.16327,929.36664,291.09232,907.29895,330.441,941.2459,298.86868,917.61884,339.96072,1038.942,317.67075,960.9814,360.81906,1074.0957,327.56238,978.0257,369.70255,1098.7657,320.91592,996.7681,367.84702,1020.89655,422.93353,928.17084,397.57797
1025.1527,310.7177,1022.1495,353.3759,984.729,275.0895,1053.3428,317.33014,988.2986,263.48654,1064.8225,311.34204,924.0909,364.5319,1024.0125,398.25406,941.48285,368.05908,1033.8906,400.3016,1027.7849,356.44193,1075.6218,402.32034,1071.8456,355.24738,1096.5487,402.19318,1086.0541,339.20172,1107.2389,387.8852,1031.2993,424.79703,1068.4819,461.17596,994.97504,246.51599,995.11774,297.45905,1004.03107,242.4235,992.4081,291.41156,912.54047,275.4337,904.42267,308.94684,922.69635,285.50085,912.9729,322.1523,1030.903,352.82092,946.77924,368.83093,1067.2712,352.02002,962.3095,384.5797,1085.7533,341.50644,981.61487,388.08554,1030.9216,422.97406,910.4245,395.38095
1016.61255,307.42905,1020.1182,353.46347,978.3058,273.30646,1049.3915,314.91382,981.88824,263.54684,1059.9358,307.10175,928.8375,371.0501,1029.1656,402.2834,943.8875,368.82822,1038.1544,404.23566,1027.7144,357.26105,1080.757,402.66913,1076.919,349.38843,1097.0004,396.90634,1089.6963,330.30383,1106.0726,380.52194,1046.1267,422.9925,1079.6838,461.05457,985.9205,248.73645,989.5532,296.22473,994.994,242.67361,988.087,290.69183,948.04346,324.05197,897.5965,297.4153,947.7942,364.6892,907.365,311.2507,1033.6031,360.99783,935.2878,371.80472,1077.4973,348.91425,944.78033,394.8481,1089.7554,330.4642,959.2916,400.4031,1044.3224,420.19864,897.9417,395.88138
1007.35187,308.04068,1015.6946,356.5818,971.7094,271.48688,1044.4498,314.05447,972.8308,260.76062,1055.0933,307.27414,883.54,252.21231,1035.1569,406.56894,950.3645,371.27222,1045.249,406.75827,1034.4349,353.83582,1085.2781,399.46503,1084.0616,344.14102,1097.3822,394.22418,1094.6228,325.52808,1104.3767,375.3208,1059.4713,421.81097,1089.8309,460.6112,972.1137,250.09448,986.10547,296.07135,984.9426,242.67123,986.19867,290.6857,934.37585,370.62357,892.94415,291.01007,950.1555,370.49966,902.3363,306.84012,1035.8749,355.83322,922.04126,374.7626,977.78876,376.5514,926.3579,404.76205,1092.9125,325.56473,939.0339,408.89514,1057.296,418.42426,1089.6978,455.8104
999.76086,312.8245,1005.7159,348.33734,966.3624,269.51895,1037.4672,307.36612,967.09546,259.8779,1051.1816,302.74887,868.92017,253.75298,1044.0521,404.31787,876.6657,268.94885,1055.4073,403.13474,1037.5717,353.10962,1086.1094,396.4719,1087.2593,342.86505,1098.1859,394.1146,961.5278,387.12598,1101.1078,376.81113,1073.3297,422.55368,1102.5913,459.54227,964.3498,253.70276,979.2723,296.3192,974.0161,242.66441,978.7329,290.59952,871.56946,252.59724,889.7717,288.47305,879.4616,265.99612,897.44226,305.69855,1038.6487,352.62015,909.2231,384.35275,1088.9615,341.42624,908.1002,417.07065,1097.1605,319.26477,921.7854,427.38525,1071.0458,419.4227,836.06354,421.94733
987.79254,310.2922,989.94855,343.9817,958.1961,268.72928,1029.6223,303.20737,958.04364,259.83334,1042.7931,301.43073,858.0716,259.36136,1051.4543,403.44254,865.0667,272.76825,1061.1395,401.6259,898.3318,348.7685,1086.5464,394.6563,919.2186,394.63104,1100.158,396.94577,941.358,396.4252,1099.4712,379.29245,1089.1763,419.34418,1114.7141,457.99802,953.69617,255.99863,970.5447,298.43442,962.0812,245.38986,969.6524,291.45874,940.1584,368.6134,880.74817,292.30115,954.63226,367.23315,889.6917,308.8214,1046.5245,349.05112,896.79944,388.15747,1089.8556,341.58264,895.92816,424.19275,1099.8761,320.183,909.36646,433.9765,1086.1515,416.57086,839.0852,420.38214
